IMPORT_ID,TYPE,TEXT,LEVEL,SUBJECT_1,SUBJECT_2,PART_OF,PRESENTATION_ORDER,CENTER_LABEL,CENTER_1,CENTER_2,CENTER_3,CENTER_4,CENTER_CORRECT_ANSWERS,LEFT_LABEL,LEFT_1,LEFT_2,LEFT_3,LEFT_4,LEFT_5,LEFT_6,LEFT_7,LEFT_CORRECT_ANSWERS,RIGHT_LABEL,RIGHT_1,RIGHT_2,RIGHT_3,RIGHT_4,RIGHT_5,RIGHT_6,RIGHT_CORRECT_ANSWERS,IMAGE_PATH,ALT_TEXT,CORRECT_ANSWERS,ANSWER_1,ANSWER_2,ANSWER_3,ANSWER_4,TEXT_1,TEXT_2,TEXT_3,TEXT_4
1,Stimulus Case Study,Respiratory Distress in a Geriatric Patient,1,Health Sciences,Life Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Scenario,"Mr. Henderson, a 78-year-old male, presents to the emergency department with complaints of progressive shortness of breath over the past 3 days.",,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Multiple Choice,"Based on Mr. Henderson's presentation, what is the most likely diagnosis?",,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Community-acquired pneumonia,Pulmonary embolism,Acute exacerbation of COPD,Congestive heart failure,,,,
4,Select All That Apply,Review the chest X-ray image. Which findings would you expect to observe?,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,chest-xray.jpg,Chest X-ray showing right lower lobe infiltrate,"1,2,3",Right lower lobe infiltrate,Pleural effusion,Hyperinflation of lungs,Pneumothorax,,,,
5,Scenario,Mr. Henderson is diagnosed with community-acquired pneumonia with acute hypoxemic respiratory failure.,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Drag and Drop,Drag the appropriate interventions for Mr. Henderson:,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2,3,4",Administer oxygen therapy,Monitor vital signs,Administer IV antibiotics,Position in high Fowler's,,,,
7,Matching,Match each medication with its nursing consideration:,,,,1,5,,,,,,,,Ceftriaxone,Albuterol,Methylprednisolone,Enoxaparin,,,,,,Monitor for allergic reaction,Monitor for tachycardia,Monitor blood glucose,Monitor for bleeding,,,,,,,,,,,,,,
8,Stimulus Case Study,Neurological Assessment Following Trauma,2,Health Sciences,Applied Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Scenario,"Emily Chen, a 24-year-old female, is brought to the ED following a motor vehicle collision.",,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bow Tie,"Identify the clinical condition, assessment findings, and nursing interventions:",,,,8,1,Clinical Condition,Traumatic Brain Injury,Stroke,Seizure Disorder,Meningitis,1,Assessment Findings,Unequal pupils,Hemiparesis,Altered LOC,Hypertension,History of trauma,Fever,Nuchal rigidity,"1,2,3,4,5",Nursing Interventions,Frequent neuro assessments,Maintain c-spine precautions,Elevate HOB 30 degrees,Monitor for increased ICP,Administer anticonvulsants,Apply cooling measures,"1,2,3,4",,,,,,,,,,,
11,Scenario,A CT scan reveals a small subdural hematoma with minimal midline shift.,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Multiple Choice,What is the most likely cause of Emily's declining neurological status?,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,brain-ct.jpg,CT scan showing subdural hematoma,1,Expanding intracranial hemorrhage,Cerebral edema,Seizure activity,Medication side effect,,,,
13,Categorization,Categorize findings by whether they indicate increased intracranial pressure:,,,,8,4,,,,,,,,Signs of Increased ICP,Not Specific to Increased ICP,,,,,,,,"Decreasing LOC, Pupillary changes, Cushing's triad, Projectile vomiting","Fever, Tachycardia, Hypotension, Hypoactive bowel sounds",,,,,,,,,,,,,,,,
14,Essay,Develop a nursing care plan for Emily's first 24 hours in the ICU,,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<p>Emily needs specialized neurological care.</p>,<p><strong>Develop a comprehensive nursing care plan.</strong></p>,<p>Support with evidence-based rationales.</p>,
